,customer_id,recency_q,frequency_q,monetary_q,rfm_class_string,rfm_weight,customer_segment
0,1,1,1,1,111,8,Low Value Customer
1,2,3,2,1,321,20,High Value Customer
2,5,1,1,1,111,8,Low Value Customer
3,7,3,3,3,333,24,Top Customer
4,9,3,2,2,322,21,High Value Customer
5,15,1,1,1,111,8,Low Value Customer
6,18,2,2,3,223,17,High Value Customer
7,19,2,3,3,233,19,High Value Customer
8,20,4,4,4,444,32,Top Customer
9,21,4,4,4,444,32,Top Customer
10,22,3,4,4,344,27,Top Customer
11,23,2,3,4,234,20,High Value Customer
12,24,1,2,2,122,11,Low Value Customer
13,25,3,3,3,333,24,Top Customer
14,26,1,2,3,123,12,Medium Value Customer
15,27,2,3,3,233,19,High Value Customer
16,28,1,1,3,113,10,Low Value Customer
17,29,2,3,4,234,20,High Value Customer
18,30,2,1,2,212,14,Medium Value Customer
19,31,4,4,3,443,31,Top Customer
20,32,2,4,3,243,21,High Value Customer
21,33,3,4,4,344,27,Top Customer
22,34,2,3,3,233,19,High Value Customer
23,35,2,4,3,243,21,High Value Customer
24,36,1,2,1,121,10,Low Value Customer
25,37,2,3,3,233,19,High Value Customer
26,38,3,4,4,344,27,Top Customer
27,39,4,4,4,444,32,Top Customer
28,40,4,3,2,432,28,Top Customer
29,41,4,3,3,433,29,Top Customer
30,42,4,4,4,444,32,Top Customer
31,43,1,3,4,134,15,Medium Value Customer
32,44,1,1,2,112,9,Low Value Customer
33,45,3,3,4,334,25,Top Customer
34,46,3,3,4,334,25,Top Customer
35,47,4,4,3,443,31,Top Customer
36,48,3,4,3,343,26,Top Customer
37,49,4,4,4,444,32,Top Customer
38,50,1,2,2,122,11,Low Value Customer
39,51,2,4,4,244,22,High Value Customer
40,52,2,2,1,221,15,Medium Value Customer
41,53,2,3,2,232,18,High Value Customer
42,54,2,3,3,233,19,High Value Customer
43,55,2,2,3,223,17,High Value Customer
44,56,3,4,4,344,27,Top Customer
45,57,1,3,3,133,14,Medium Value Customer
46,58,2,3,4,234,20,High Value Customer
47,59,4,4,4,444,32,Top Customer
48,60,4,4,4,444,32,Top Customer
49,61,1,2,2,122,11,Low Value Customer
50,62,4,4,4,444,32,Top Customer
